,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
8306,29.0,entrepreneur,married,high.school,no,yes,no,telephone,jun,tue,284.0,3.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
11282,34.0,services,married,basic.6y,no,no,no,telephone,jun,thu,722.0,1.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
18016,37.0,admin.,single,university.degree,no,yes,no,cellular,jul,wed,305.0,2.0,999.0,0.0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
30125,30.0,technician,single,university.degree,no,yes,no,telephone,apr,wed,169.0,8.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.3719999999999999,5099.1,no
2796,55.0,blue-collar,married,basic.4y,no,yes,no,telephone,may,wed,171.0,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
12812,36.0,technician,single,university.degree,no,yes,no,cellular,jul,tue,1046.0,2.0,999.0,0.0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
25885,49.0,blue-collar,divorced,basic.9y,no,yes,no,cellular,nov,wed,82.0,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
12880,29.0,self-employed,married,university.degree,no,no,no,cellular,jul,tue,125.0,2.0,999.0,0.0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
4855,29.0,blue-collar,married,high.school,no,yes,yes,telephone,may,wed,184.0,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no
2400,45.0,admin.,single,university.degree,no,no,yes,telephone,may,tue,766.0,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
11048,41.0,blue-collar,married,basic.9y,no,no,no,telephone,jun,wed,378.0,2.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
27260,50.0,technician,married,university.degree,no,yes,no,cellular,nov,fri,100.0,2.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
24879,52.0,management,married,university.degree,no,yes,no,cellular,nov,tue,67.0,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no
19142,52.0,admin.,married,high.school,no,no,no,cellular,aug,tue,80.0,1.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
9975,40.0,blue-collar,married,basic.4y,no,no,no,telephone,jun,wed,105.0,3.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
36272,33.0,services,single,high.school,no,no,no,cellular,jun,mon,144.0,1.0,999.0,1.0,failure,-2.9,92.963,-40.8,1.266,5076.2,no
7436,40.0,technician,married,university.degree,no,no,no,telephone,may,fri,417.0,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
24779,36.0,blue-collar,married,basic.4y,no,no,no,cellular,nov,tue,101.0,5.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no
29745,35.0,technician,single,university.degree,no,yes,yes,cellular,apr,mon,378.0,1.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
4407,57.0,blue-collar,divorced,professional.course,no,yes,no,telephone,may,tue,211.0,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
19692,32.0,admin.,divorced,university.degree,no,yes,no,telephone,aug,thu,262.0,7.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
10027,53.0,technician,married,university.degree,no,yes,no,telephone,jun,thu,134.0,3.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
24582,38.0,entrepreneur,married,basic.9y,no,yes,no,cellular,nov,mon,136.0,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
24244,37.0,technician,married,professional.course,no,yes,yes,cellular,nov,mon,79.0,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
22329,55.0,blue-collar,married,basic.4y,no,no,no,cellular,aug,thu,94.0,13.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
40703,71.0,retired,married,high.school,no,no,no,cellular,sep,mon,363.0,1.0,999.0,0.0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,yes
37088,27.0,technician,single,university.degree,no,yes,no,cellular,jul,mon,258.0,3.0,999.0,0.0,nonexistent,-2.9,92.469,-33.6,0.9440000000000001,5076.2,no
6192,34.0,services,married,high.school,no,no,no,telephone,may,tue,355.0,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
36970,32.0,self-employed,single,university.degree,no,no,no,cellular,jul,thu,590.0,1.0,999.0,2.0,failure,-2.9,92.469,-33.6,1.072,5076.2,no
21721,52.0,admin.,married,high.school,no,yes,no,cellular,aug,tue,231.0,4.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
30798,30.0,technician,single,university.degree,no,yes,no,cellular,may,tue,150.0,1.0,999.0,0.0,nonexistent,-1.8,92.89299999999999,-46.2,1.344,5099.1,no
36124,34.0,admin.,married,university.degree,no,yes,yes,cellular,may,wed,242.0,1.0,7.0,1.0,success,-1.8,92.89299999999999,-46.2,1.27,5099.1,yes
22362,36.0,admin.,single,university.degree,no,yes,no,cellular,aug,thu,379.0,1.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
25743,40.0,management,married,professional.course,no,yes,no,cellular,nov,wed,162.0,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
40844,30.0,student,single,professional.course,no,yes,no,cellular,sep,tue,282.0,2.0,6.0,1.0,success,-1.1,94.199,-37.5,0.88,4963.6,yes
19184,59.0,blue-collar,married,basic.9y,no,yes,no,cellular,aug,tue,1197.0,2.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
37054,45.0,admin.,married,university.degree,no,yes,no,cellular,jul,wed,106.0,1.0,999.0,0.0,nonexistent,-2.9,92.469,-33.6,1.0290000000000001,5076.2,no
4677,59.0,retired,married,professional.course,no,no,no,telephone,may,wed,905.0,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,yes
17100,28.0,blue-collar,single,basic.9y,no,no,no,cellular,jul,fri,803.0,1.0,999.0,0.0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
27965,39.0,admin.,married,high.school,no,yes,yes,cellular,mar,tue,210.0,1.0,999.0,0.0,nonexistent,-1.8,92.84299999999999,-50.0,1.51,5099.1,no
3236,34.0,blue-collar,married,basic.4y,no,no,yes,telephone,may,thu,23.0,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
12806,39.0,blue-collar,married,basic.6y,no,no,no,cellular,jul,tue,634.0,1.0,999.0,0.0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,yes
9407,49.0,blue-collar,married,basic.4y,no,no,no,telephone,jun,fri,190.0,4.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
6979,49.0,blue-collar,married,basic.4y,no,yes,no,telephone,may,thu,109.0,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
37176,60.0,self-employed,divorced,university.degree,no,no,no,cellular,aug,thu,90.0,2.0,999.0,0.0,nonexistent,-2.9,92.20100000000001,-31.4,0.883,5076.2,no
41137,42.0,admin.,married,university.degree,no,yes,no,cellular,nov,thu,419.0,3.0,999.0,1.0,failure,-1.1,94.76700000000001,-50.8,1.041,4963.6,no
9600,36.0,technician,married,professional.course,no,no,no,telephone,jun,mon,151.0,1.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
2668,51.0,blue-collar,married,basic.4y,no,yes,no,telephone,may,wed,438.0,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
7258,36.0,admin.,married,university.degree,no,yes,yes,telephone,may,thu,238.0,3.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
1640,31.0,blue-collar,married,basic.9y,no,no,no,telephone,may,fri,93.0,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
1380,38.0,blue-collar,single,basic.4y,no,no,no,telephone,may,thu,28.0,3.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
34772,29.0,blue-collar,married,basic.9y,no,no,no,telephone,may,thu,47.0,4.0,999.0,0.0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,no
36226,32.0,technician,married,professional.course,no,yes,no,cellular,jun,mon,108.0,1.0,999.0,0.0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,no
7600,48.0,admin.,married,professional.course,no,yes,no,telephone,may,fri,34.0,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
4431,48.0,entrepreneur,married,basic.9y,no,yes,no,telephone,may,tue,201.0,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
604,32.0,admin.,single,university.degree,no,yes,no,telephone,may,tue,278.0,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
7172,49.0,admin.,single,university.degree,no,yes,no,telephone,may,thu,122.0,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
6571,37.0,blue-collar,single,basic.9y,no,no,no,telephone,may,wed,211.0,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
29165,58.0,unemployed,married,basic.9y,no,no,no,cellular,apr,fri,834.0,1.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
11725,33.0,admin.,married,professional.course,no,no,no,telephone,jun,fri,81.0,3.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
2163,48.0,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,529.0,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
20771,49.0,blue-collar,married,basic.9y,no,no,yes,cellular,aug,wed,92.0,4.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
25260,40.0,blue-collar,married,basic.4y,no,no,no,cellular,nov,tue,103.0,6.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no
16307,27.0,admin.,single,basic.9y,no,yes,no,cellular,jul,tue,44.0,4.0,999.0,0.0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
25874,34.0,blue-collar,single,basic.9y,no,no,no,cellular,nov,wed,127.0,1.0,999.0,1.0,failure,-0.1,93.2,-42.0,4.12,5195.8,no
25529,34.0,technician,married,university.degree,no,yes,no,cellular,nov,wed,686.0,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,yes
30965,32.0,technician,married,basic.9y,no,yes,no,cellular,may,tue,500.0,2.0,999.0,0.0,nonexistent,-1.8,92.89299999999999,-46.2,1.344,5099.1,yes
24095,46.0,technician,married,professional.course,no,no,no,telephone,nov,mon,98.0,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.406000000000001,5195.8,no
39998,33.0,services,married,high.school,no,yes,no,cellular,jun,wed,274.0,2.0,12.0,2.0,success,-1.7,94.055,-39.8,0.767,4991.6,yes
15544,41.0,housemaid,married,high.school,no,yes,no,cellular,jul,fri,440.0,4.0,999.0,0.0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,no
24757,31.0,admin.,married,university.degree,no,yes,yes,cellular,nov,tue,64.0,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no
32971,33.0,blue-collar,single,basic.9y,no,no,no,cellular,may,mon,130.0,3.0,999.0,0.0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no
27448,51.0,admin.,single,university.degree,no,no,no,cellular,nov,fri,224.0,2.0,999.0,1.0,failure,-0.1,93.2,-42.0,4.021,5195.8,no
22741,41.0,admin.,divorced,university.degree,no,no,no,cellular,aug,mon,115.0,4.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
37211,38.0,admin.,single,university.degree,no,yes,no,cellular,aug,fri,116.0,1.0,999.0,0.0,nonexistent,-2.9,92.20100000000001,-31.4,0.8809999999999999,5076.2,no
28696,45.0,services,divorced,basic.4y,no,no,yes,cellular,apr,thu,1579.0,1.0,999.0,1.0,failure,-1.8,93.075,-47.1,1.41,5099.1,yes
7391,37.0,blue-collar,married,basic.9y,no,no,no,telephone,may,fri,343.0,3.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
23657,45.0,management,married,university.degree,no,yes,no,cellular,aug,thu,26.0,15.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
33973,33.0,technician,single,university.degree,no,no,yes,cellular,may,wed,118.0,2.0,999.0,0.0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,no
29921,32.0,services,married,high.school,no,no,no,cellular,apr,mon,259.0,3.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
15976,29.0,blue-collar,single,basic.9y,no,yes,no,cellular,jul,mon,189.0,3.0,999.0,0.0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no
28608,37.0,services,married,basic.9y,no,yes,no,cellular,apr,wed,103.0,2.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,no
18744,54.0,admin.,married,university.degree,no,yes,no,cellular,jul,thu,77.0,5.0,999.0,0.0,nonexistent,1.4,93.91799999999999,-42.7,4.968,5228.1,no
3634,52.0,management,married,professional.course,no,no,no,telephone,may,fri,203.0,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
21703,55.0,retired,married,high.school,no,yes,yes,cellular,aug,tue,37.0,5.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
36610,36.0,technician,married,basic.9y,no,yes,no,cellular,jun,thu,390.0,1.0,999.0,0.0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no
30386,32.0,blue-collar,married,professional.course,no,no,no,cellular,apr,thu,140.0,2.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,no
19736,46.0,technician,married,professional.course,no,yes,no,cellular,aug,thu,721.0,5.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
34759,60.0,retired,married,high.school,no,no,no,cellular,may,thu,512.0,3.0,999.0,0.0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,no
35414,55.0,technician,married,professional.course,no,no,yes,cellular,may,fri,543.0,3.0,999.0,1.0,failure,-1.8,92.89299999999999,-46.2,1.25,5099.1,no
15003,36.0,blue-collar,married,basic.9y,no,yes,no,telephone,jul,thu,264.0,3.0,999.0,0.0,nonexistent,1.4,93.91799999999999,-42.7,4.958,5228.1,no
16471,38.0,technician,married,university.degree,no,yes,no,cellular,jul,wed,644.0,1.0,999.0,0.0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
23126,56.0,services,married,high.school,no,yes,no,cellular,aug,tue,43.0,1.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
1443,35.0,services,married,basic.9y,no,yes,yes,telephone,may,thu,442.0,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
12721,44.0,admin.,married,high.school,no,yes,no,cellular,jul,mon,136.0,1.0,999.0,0.0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no
20286,34.0,admin.,single,university.degree,no,no,no,cellular,aug,mon,271.0,2.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
7254,39.0,blue-collar,married,basic.6y,no,no,no,telephone,may,thu,286.0,3.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
36446,43.0,admin.,married,university.degree,no,yes,yes,cellular,jun,tue,146.0,2.0,999.0,0.0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,no
9009,37.0,blue-collar,married,basic.9y,no,yes,no,telephone,jun,thu,94.0,4.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,no
37559,54.0,admin.,married,university.degree,no,yes,no,cellular,aug,fri,326.0,3.0,999.0,0.0,nonexistent,-2.9,92.20100000000001,-31.4,0.8690000000000001,5076.2,yes
10305,38.0,entrepreneur,married,basic.4y,no,no,no,telephone,jun,mon,822.0,1.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
36244,41.0,admin.,married,university.degree,no,no,no,cellular,jun,mon,175.0,1.0,999.0,0.0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,no
28780,46.0,entrepreneur,married,university.degree,no,yes,yes,cellular,apr,thu,285.0,5.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,no
22847,40.0,technician,married,professional.course,no,no,no,cellular,aug,mon,94.0,3.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
17166,54.0,unemployed,married,high.school,no,no,no,cellular,jul,fri,203.0,1.0,999.0,0.0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
35225,44.0,blue-collar,married,high.school,no,yes,no,cellular,may,fri,223.0,2.0,999.0,1.0,failure,-1.8,92.89299999999999,-46.2,1.25,5099.1,no
13879,52.0,housemaid,married,basic.4y,no,no,no,cellular,jul,fri,347.0,2.0,999.0,0.0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
33183,41.0,housemaid,married,basic.4y,no,no,no,cellular,may,tue,66.0,1.0,999.0,0.0,nonexistent,-1.8,92.89299999999999,-46.2,1.291,5099.1,no
36079,34.0,housemaid,married,university.degree,no,yes,no,cellular,may,tue,58.0,1.0,999.0,0.0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,no
17304,45.0,blue-collar,married,basic.4y,no,no,no,cellular,jul,fri,144.0,2.0,999.0,0.0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
2565,46.0,housemaid,married,basic.4y,no,no,no,telephone,may,tue,788.0,3.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
5854,38.0,admin.,married,university.degree,no,no,no,telephone,may,mon,543.0,4.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
40906,33.0,services,married,professional.course,no,no,no,cellular,oct,mon,291.0,1.0,999.0,3.0,failure,-1.1,94.601,-49.5,0.977,4963.6,no
40140,29.0,technician,single,professional.course,no,yes,no,cellular,jul,wed,133.0,3.0,999.0,0.0,nonexistent,-1.7,94.215,-40.3,0.84,4991.6,no
36579,35.0,admin.,married,university.degree,no,no,no,cellular,jun,thu,510.0,3.0,999.0,0.0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
39855,35.0,technician,single,university.degree,no,no,no,cellular,jun,mon,516.0,1.0,999.0,0.0,nonexistent,-1.7,94.055,-39.8,0.72,4991.6,no
5652,41.0,services,married,high.school,no,yes,no,telephone,may,mon,679.0,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
2732,52.0,admin.,married,high.school,no,yes,no,telephone,may,wed,132.0,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
1344,30.0,admin.,divorced,high.school,no,yes,no,telephone,may,thu,177.0,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
3752,28.0,blue-collar,married,basic.9y,no,yes,no,telephone,may,fri,239.0,3.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
17737,54.0,housemaid,divorced,basic.4y,no,yes,no,cellular,jul,tue,179.0,2.0,999.0,0.0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
7858,40.0,management,married,university.degree,no,yes,no,telephone,jun,mon,61.0,2.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
12443,56.0,admin.,divorced,basic.6y,no,yes,no,cellular,jul,mon,239.0,4.0,999.0,0.0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no
13853,51.0,services,single,basic.6y,no,no,no,cellular,jul,fri,484.0,1.0,999.0,0.0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
7249,53.0,management,married,university.degree,no,yes,no,telephone,may,thu,135.0,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
3140,49.0,services,divorced,basic.6y,no,yes,no,telephone,may,thu,173.0,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
20362,31.0,blue-collar,married,basic.6y,no,no,no,cellular,aug,tue,132.0,1.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
30937,31.0,blue-collar,married,basic.9y,no,no,yes,cellular,may,tue,183.0,1.0,999.0,1.0,failure,-1.8,92.89299999999999,-46.2,1.344,5099.1,no
7951,41.0,admin.,married,high.school,no,no,no,telephone,jun,mon,118.0,3.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
40467,51.0,blue-collar,married,basic.9y,no,yes,no,cellular,aug,wed,237.0,1.0,6.0,4.0,success,-1.7,94.027,-38.3,0.903,4991.6,yes
34428,44.0,services,married,high.school,no,no,yes,cellular,may,thu,786.0,1.0,999.0,0.0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,yes
23970,53.0,management,married,university.degree,no,yes,yes,telephone,aug,fri,81.0,1.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
14208,36.0,admin.,married,university.degree,no,no,no,cellular,jul,mon,58.0,11.0,999.0,0.0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
40649,39.0,entrepreneur,married,university.degree,no,yes,no,cellular,sep,tue,120.0,3.0,999.0,0.0,nonexistent,-1.1,94.199,-37.5,0.8809999999999999,4963.6,no
